Название файла | Количество обращений к серверу | Время выполнения | Затраченная память
src/main/resources/10N50M60R.txt | 45 | 0.0057579 | 710
src/main/resources/100N200M300R.txt | 150 | 0.004808 | 817
src/main/resources/1000N2500M2800R.txt | 1826 | 0.086259 | 19477
src/main/resources/1000N7000M7100R.txt | 6083 | 0.28199717 | 186381
src/main/resources/1000N7000M10000R.txt | 6336 | 0.24970381 | 10319
src/main/resources/5000N10000M15000R.txt | 7544 | 0.7636605 | 191864
src/main/resources/10000N25000M20000R.txt | 15654 | 3.525551 | 108680
src/main/resources/10000N25000M27000R.txt | 17932 | 5.0099034 | 160881
src/main/resources/10000N50000M11000R.txt | 12135 | 1.3358972 | 222332
src/main/resources/10000N50000M15000R.txt | 21158 | 6.638285 | 108556
src/main/resources/10000N50000M27000R.txt | 33575 | 14.743127 | 17978
src/main/resources/10000N100000M11000R.txt | 16749 | 3.8983986 | 38959
src/main/resources/10000N100000M15000R.txt | 37915 | 16.541903 | 86493
src/main/resources/20000N100000M15000R.txt | 14979 | 0.0046652 | 8192
src/main/resources/20000N100000M30000R.txt | 42204 | 29.632425 | 167967
